,START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,PURPOSE*,DISTANCE,Year,Time Cat
58,2016-01-29 21:21:00,1/29/2016 21:40,Business,Apex,Cary,5.5,Meal/Entertain,Long Trip,2020,Medium Trip
59,2016-01-30 16:21:00,1/30/2016 16:33,Business,Cary,Apex,5.7,Errand/Supplies,Long Trip,2020,Medium Trip
60,2016-01-30 18:09:00,1/30/2016 18:24,Business,Apex,Cary,5.7,Customer Visit,Long Trip,2020,Medium Trip
61,2016-02-01 10:35:00,2/1/2016 11:15,Business,Cary,Chapel Hill,19.4,Customer Visit,Long Trip,2020,Long Trip
62,2016-02-01 12:10:00,2/1/2016 12:43,Business,Chapel Hill,Cary,23.3,Customer Visit,Long Trip,2020,Long Trip
63,2016-02-01 12:56:00,2/1/2016 13:07,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,Short Trip,2020,Short Trip
64,2016-02-02 13:04:00,2/2/2016 13:23,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,Long Trip,2020,Medium Trip
65,2016-02-02 13:51:00,2/2/2016 14:06,Business,Cary,Cary,6.0,Errand/Supplies,Long Trip,2020,Medium Trip
66,2016-02-02 14:38:00,2/2/2016 14:42,Business,Cary,Cary,1.6,Errand/Supplies,Short Trip,2020,Short Trip
67,2016-02-04 08:40:00,2/4/2016 9:01,Business,Cary,Morrisville,5.2,Errand/Supplies,Long Trip,2020,Medium Trip
68,2016-02-04 09:37:00,2/4/2016 10:09,Business,Morrisville,Cary,9.7,Meal/Entertain,Long Trip,2020,Medium Trip
69,2016-02-04 10:26:00,2/4/2016 10:32,Business,Cary,Cary,1.6,Meal/Entertain,Short Trip,2020,Short Trip
70,2016-02-04 15:59:00,2/4/2016 16:03,Business,Cary,Cary,1.1,Meal/Entertain,Short Trip,2020,Short Trip
71,2016-02-04 16:35:00,2/4/2016 16:39,Business,Cary,Cary,1.6,Meal/Entertain,Short Trip,2020,Short Trip
72,2016-02-04 18:04:00,2/4/2016 18:31,Business,Whitebridge,Macgregor Downs,9.0,Meeting,Long Trip,2020,Medium Trip
73,2016-02-04 20:36:00,2/4/2016 20:55,Business,Cary,Cary,7.7,Meeting,Long Trip,2020,Medium Trip
74,2016-02-05 11:47:00,2/5/2016 12:07,Business,Cary,Durham,10.4,Meeting,Long Trip,2020,Long Trip
75,2016-02-05 13:22:00,2/5/2016 13:41,Business,Durham,Cary,10.4,Meeting,Long Trip,2020,Long Trip
76,2016-02-06 16:20:00,2/6/2016 16:53,Business,Cary,Raleigh,11.4,Between Offices,Long Trip,2020,Long Trip
77,2016-02-06 18:57:00,2/6/2016 19:21,Business,Raleigh,Cary,9.0,Errand/Supplies,Long Trip,2020,Medium Trip
78,2016-02-06 19:28:00,2/6/2016 19:37,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,Short Trip,2020,Short Trip
79,2016-02-07 16:49:00,2/7/2016 17:01,Business,Cary,Apex,5.6,Errand/Supplies,Long Trip,2020,Medium Trip
80,2016-02-07 18:03:00,2/7/2016 18:17,Business,Apex,Cary,5.7,Customer Visit,Long Trip,2020,Medium Trip
81,2016-02-07 18:39:00,2/7/2016 18:53,Business,Cary,Morrisville,6.1,Temporary Site,Long Trip,2020,Medium Trip
82,2016-02-07 20:22:00,2/7/2016 20:40,Business,Morrisville,Cary,6.1,Meeting,Long Trip,2020,Medium Trip
83,2016-02-08 12:57:00,2/8/2016 13:08,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,Short Trip,2020,Short Trip
84,2016-02-08 14:00:00,2/8/2016 14:10,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,Short Trip,2020,Short Trip
85,2016-02-09 10:54:00,2/9/2016 11:07,Personal,Whitebridge,Northwoods,5.3,,Long Trip,2020,Medium Trip
86,2016-02-09 11:43:00,2/9/2016 11:50,Personal,Northwoods,Tanglewood,3.0,,Short Trip,2020,Short Trip
87,2016-02-09 13:36:00,2/9/2016 13:52,Personal,Tanglewood,Preston,5.1,,Long Trip,2020,Medium Trip
88,2016-02-09 13:58:00,2/9/2016 14:02,Personal,Preston,Whitebridge,1.5,,Short Trip,2020,Short Trip
89,2016-02-09 18:55:00,2/9/2016 19:11,Business,Cary,Morrisville,6.1,,Long Trip,2020,Medium Trip
90,2016-02-09 20:24:00,2/9/2016 20:40,Business,Morrisville,Cary,6.1,Meal/Entertain,Long Trip,2020,Medium Trip
91,2016-02-11 16:28:00,2/11/2016 17:10,Business,Cary,Raleigh,17.3,Meal/Entertain,Long Trip,2020,Long Trip
92,2016-02-11 17:49:00,2/11/2016 18:10,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,Long Trip,2020,Medium Trip
93,2016-02-11 18:24:00,2/11/2016 18:46,Business,Raleigh,Morrisville,13.5,Temporary Site,Long Trip,2020,Long Trip
94,2016-02-11 20:36:00,2/11/2016 20:51,Business,Morrisville,Cary,6.1,Temporary Site,Long Trip,2020,Medium Trip
95,2016-02-12 08:21:00,2/12/2016 8:42,Business,Cary,Durham,8.5,Temporary Site,Long Trip,2020,Medium Trip
96,2016-02-12 10:45:00,2/12/2016 10:52,Business,Durham,Morrisville,2.6,Temporary Site,Short Trip,2020,Short Trip
97,2016-02-12 11:14:00,2/12/2016 11:35,Business,Morrisville,Raleigh,17.0,Customer Visit,Long Trip,2020,Long Trip
98,2016-02-12 13:02:00,2/12/2016 13:36,Business,Raleigh,Cary,18.0,Meeting,Long Trip,2020,Long Trip
99,2016-02-12 14:49:00,2/12/2016 15:06,Business,Cary,Morrisville,8.4,Meeting,Long Trip,2020,Medium Trip
100,2016-02-12 15:33:00,2/12/2016 16:06,Business,Morrisville,Cary,11.5,Customer Visit,Long Trip,2020,Long Trip
101,2016-02-13 14:21:00,2/13/2016 14:41,Business,Cary,Morrisville,8.9,Meeting,Long Trip,2020,Medium Trip
102,2016-02-13 23:45:00,2/14/2016 0:01,Personal,East Elmhurst,Jackson Heights,2.7,,Short Trip,2020,Short Trip
103,2016-02-14 00:50:00,2/14/2016 1:00,Personal,Jackson Heights,East Elmhurst,1.8,,Short Trip,2020,Short Trip
104,2016-02-14 14:07:00,2/14/2016 14:40,Business,East Elmhurst,New York,8.1,Meeting,Long Trip,2020,Medium Trip
105,2016-02-14 14:46:00,2/14/2016 15:03,Business,Midtown,Midtown West,2.0,Meeting,Short Trip,2020,Short Trip
106,2016-02-14 16:35:00,2/14/2016 17:02,Business,New York,Long Island City,13.0,Meeting,Long Trip,2020,Long Trip
107,2016-02-14 17:06:00,2/14/2016 17:29,Business,Long Island City,Jamaica,13.9,Meeting,Long Trip,2020,Long Trip
108,2016-02-16 03:21:00,2/16/2016 4:13,Business,Katunayaka,Unknown Location,43.7,Customer Visit,Long Trip,2020,Long Trip
109,2016-02-16 08:29:00,2/16/2016 9:34,Business,Unknown Location,Colombo,14.1,,Long Trip,2020,Long Trip
110,2016-02-16 10:31:00,2/16/2016 10:41,Business,Colombo,Colombo,2.6,,Short Trip,2020,Short Trip
111,2016-02-16 11:32:00,2/16/2016 12:02,Business,Colombo,Colombo,4.5,,Short Trip,2020,Short Trip
112,2016-02-16 12:39:00,2/16/2016 12:42,Business,Colombo,Colombo,1.7,,Short Trip,2020,Short Trip
113,2016-02-16 13:43:00,2/16/2016 13:55,Business,Colombo,Colombo,1.8,Temporary Site,Short Trip,2020,Short Trip
114,2016-02-16 16:34:00,2/16/2016 17:10,Business,Colombo,Colombo,6.0,,Long Trip,2020,Medium Trip
115,2016-02-16 17:17:00,2/16/2016 17:26,Business,Colombo,Nugegoda,1.1,Meal/Entertain,Short Trip,2020,Short Trip
116,2016-02-16 17:40:00,2/16/2016 17:44,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies,Short Trip,2020,Short Trip
117,2016-02-17 13:18:00,2/17/2016 14:04,Business,Unknown Location,Colombo,14.7,Temporary Site,Long Trip,2020,Long Trip
118,2016-02-17 15:17:00,2/17/2016 15:22,Business,Colombo,Colombo,1.7,Meal/Entertain,Short Trip,2020,Short Trip
119,2016-02-17 15:33:00,2/17/2016 16:17,Business,Colombo,Katunayaka,21.4,Temporary Site,Long Trip,2020,Long Trip
120,2016-02-17 16:38:00,2/17/2016 16:43,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies,Short Trip,2020,Short Trip
121,2016-02-18 08:19:00,2/18/2016 8:27,Business,Unknown Location,Unknown Location,23.5,Temporary Site,Long Trip,2020,Long Trip
122,2016-02-18 14:03:00,2/18/2016 14:45,Business,Unknown Location,Islamabad,12.7,Temporary Site,Long Trip,2020,Long Trip
123,2016-02-18 15:16:00,2/18/2016 15:31,Business,Islamabad,Unknown Location,6.0,Temporary Site,Long Trip,2020,Medium Trip
124,2016-02-18 18:44:00,2/18/2016 18:58,Business,Unknown Location,Islamabad,5.2,Customer Visit,Long Trip,2020,Medium Trip
125,2016-02-18 19:27:00,2/18/2016 20:08,Business,Islamabad,Unknown Location,10.0,Meeting,Long Trip,2020,Medium Trip
126,2016-02-19 09:02:00,2/19/2016 9:14,Business,Unknown Location,Unknown Location,18.3,Meeting,Long Trip,2020,Long Trip
127,2016-02-19 09:21:00,2/19/2016 9:51,Business,Unknown Location,Unknown Location,11.2,Meeting,Long Trip,2020,Long Trip
128,2016-02-19 10:21:00,2/19/2016 10:48,Business,Unknown Location,Islamabad,7.6,Meeting,Long Trip,2020,Medium Trip
129,2016-02-19 11:20:00,2/19/2016 11:26,Personal,Islamabad,Islamabad,1.5,,Short Trip,2020,Short Trip
130,2016-02-19 11:45:00,2/19/2016 11:50,Personal,Islamabad,Islamabad,1.0,,Short Trip,2020,Short Trip
131,2016-02-19 12:09:00,2/19/2016 12:27,Business,Islamabad,Unknown Location,7.3,Temporary Site,Long Trip,2020,Medium Trip
132,2016-02-19 16:26:00,2/19/2016 16:45,Business,Unknown Location,Islamabad,3.5,,Short Trip,2020,Short Trip
133,2016-02-19 17:09:00,2/19/2016 17:20,Business,Islamabad,Islamabad,4.2,,Short Trip,2020,Short Trip
134,2016-02-19 20:08:00,2/19/2016 20:30,Personal,Islamabad,Unknown Location,13.6,,Long Trip,2020,Long Trip
135,2016-02-19 20:34:00,2/19/2016 20:51,Personal,Unknown Location,Unknown Location,2.5,,Short Trip,2020,Short Trip
136,2016-02-20 07:59:00,2/20/2016 8:32,Personal,Unknown Location,Islamabad,14.4,,Long Trip,2020,Long Trip
137,2016-02-20 10:48:00,2/20/2016 10:56,Personal,Islamabad,Islamabad,3.0,,Short Trip,2020,Short Trip
138,2016-02-20 11:45:00,2/20/2016 11:53,Personal,Islamabad,Islamabad,1.5,,Short Trip,2020,Short Trip
139,2016-02-20 12:41:00,2/20/2016 13:17,Business,Islamabad,R?walpindi,18.4,,Long Trip,2020,Long Trip
140,2016-02-20 14:50:00,2/20/2016 15:54,Business,R?walpindi,R?walpindi,23.1,Meeting,Long Trip,2020,Long Trip
141,2016-02-20 16:59:00,2/20/2016 17:54,Personal,R?walpindi,Unknown Location,16.5,,Long Trip,2020,Long Trip
142,2016-02-20 18:00:00,2/20/2016 18:03,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies,Short Trip,2020,Short Trip
143,2016-02-20 19:28:00,2/20/2016 19:49,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies,Long Trip,2020,Medium Trip
144,2016-02-21 09:07:00,2/21/2016 9:46,Business,Unknown Location,Islamabad,14.5,,Long Trip,2020,Long Trip
145,2016-02-21 11:39:00,2/21/2016 11:43,Business,Unknown Location,Islamabad,2.4,Errand/Supplies,Short Trip,2020,Short Trip
146,2016-02-21 11:47:00,2/21/2016 12:01,Business,Islamabad,Islamabad,4.6,Errand/Supplies,Short Trip,2020,Short Trip
147,2016-02-21 12:13:00,2/21/2016 12:35,Business,Islamabad,Unknown Location,8.8,Meal/Entertain,Long Trip,2020,Medium Trip
148,2016-02-21 12:51:00,2/21/2016 13:12,Business,Unknown Location,Unknown Location,8.3,Temporary Site,Long Trip,2020,Medium Trip
149,2016-02-21 13:33:00,2/21/2016 14:30,Business,Unknown Location,Unknown Location,22.7,Temporary Site,Long Trip,2020,Long Trip
150,2016-02-21 14:36:00,2/21/2016 15:03,Business,Unknown Location,Islamabad,13.0,Temporary Site,Long Trip,2020,Long Trip
151,2016-02-21 15:14:00,2/21/2016 15:31,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site,Long Trip,2020,Medium Trip
152,2016-02-21 15:36:00,2/21/2016 15:41,Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain,Short Trip,2020,Short Trip
153,2016-02-21 16:04:00,2/21/2016 16:32,Business,Unknown Location,Unknown Location,9.7,,Long Trip,2020,Medium Trip
154,2016-02-21 23:15:00,2/21/2016 23:52,Business,Unknown Location,R?walpindi,20.0,Meeting,Long Trip,2020,Long Trip
155,2016-02-22 21:54:00,2/22/2016 22:09,Business,Morrisville,Cary,8.1,Customer Visit,Long Trip,2020,Medium Trip
156,2016-02-24 14:30:00,2/24/2016 14:35,Business,Whitebridge,Preston,1.5,,Short Trip,2020,Short Trip
157,2016-02-24 15:19:00,2/24/2016 15:25,Business,Preston,Whitebridge,1.7,Errand/Supplies,Short Trip,2020,Short Trip
158,2016-02-25 16:27:00,2/25/2016 16:35,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies,Short Trip,2020,Short Trip
159,2016-02-25 16:47:00,2/25/2016 17:02,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies,Short Trip,2020,Short Trip
160,2016-02-25 17:16:00,2/25/2016 17:36,Business,Whitebridge,Tanglewood,6.0,Meal/Entertain,Long Trip,2020,Medium Trip
161,2016-02-25 18:22:00,2/25/2016 18:39,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain,Long Trip,2020,Medium Trip
162,2016-02-26 09:06:00,2/26/2016 9:29,Business,Whitebridge,Westpark Place,6.3,,Long Trip,2020,Medium Trip
163,2016-02-26 11:05:00,2/26/2016 11:11,Personal,Westpark Place,Whitebridge,1.7,,Short Trip,2020,Short Trip
164,2016-02-26 11:35:00,2/26/2016 11:59,Business,Cary,Durham,10.6,Meeting,Long Trip,2020,Long Trip
165,2016-02-26 13:01:00,2/26/2016 13:24,Business,Durham,Cary,9.9,Meeting,Long Trip,2020,Medium Trip
166,2016-02-26 14:38:00,2/26/2016 14:46,Personal,Whitebridge,Westpark Place,1.9,,Short Trip,2020,Short Trip
167,2016-02-26 15:00:00,2/26/2016 15:18,Personal,Westpark Place,Hazelwood,4.2,,Short Trip,2020,Short Trip
168,2016-02-26 17:01:00,2/26/2016 17:12,Personal,Hazelwood,Whitebridge,2.0,,Short Trip,2020,Short Trip
169,2016-02-28 05:22:00,2/28/2016 5:38,Business,Whitebridge,Waverly Place,7.7,Meeting,Long Trip,2020,Medium Trip
170,2016-02-28 09:26:00,2/28/2016 9:42,Business,Waverly Place,Whitebridge,6.8,Meeting,Long Trip,2020,Medium Trip
171,2016-02-29 11:07:00,2/29/2016 11:14,Personal,Whitebridge,Westpark Place,2.1,,Short Trip,2020,Short Trip
172,2016-02-29 11:30:00,2/29/2016 11:40,Business,Cary,Apex,3.8,Meeting,Short Trip,2020,Short Trip
173,2016-02-29 12:36:00,2/29/2016 12:48,Business,Apex,Cary,5.6,Meeting,Long Trip,2020,Medium Trip
174,2016-02-29 14:55:00,2/29/2016 15:03,Business,Whitebridge,Hazelwood,2.6,,Short Trip,2020,Short Trip
175,2016-02-29 16:40:00,2/29/2016 17:00,Business,Hazelwood,Whitebridge,6.6,Customer Visit,Long Trip,2020,Medium Trip
176,2016-03-01 18:47:00,3/1/2016 19:10,Business,Whitebridge,Wayne Ridge,8.0,Meal/Entertain,Long Trip,2020,Medium Trip
177,2016-03-01 21:27:00,3/1/2016 21:45,Business,Wayne Ridge,Whitebridge,8.0,Meeting,Long Trip,2020,Medium Trip
178,2016-03-03 09:45:00,3/3/2016 9:52,Personal,Whitebridge,Westpark Place,2.2,,Short Trip,2020,Short Trip
179,2016-03-03 11:04:00,3/3/2016 11:10,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies,Short Trip,2020,Short Trip
180,2016-03-03 14:44:00,3/3/2016 14:58,Business,Whitebridge,Northwoods,5.2,Meal/Entertain,Long Trip,2020,Medium Trip
181,2016-03-03 15:27:00,3/3/2016 15:48,Business,Cary,Raleigh,7.6,Customer Visit,Long Trip,2020,Medium Trip
182,2016-03-03 16:02:00,3/3/2016 16:42,Business,Raleigh,Cary,17.3,Meeting,Long Trip,2020,Long Trip
183,2016-03-04 07:47:00,3/4/2016 8:06,Business,Cary,Durham,9.9,Meeting,Long Trip,2020,Medium Trip
184,2016-03-04 09:46:00,3/4/2016 10:03,Business,Durham,Cary,9.9,Customer Visit,Long Trip,2020,Medium Trip
185,2016-03-04 11:46:00,3/4/2016 12:06,Business,Cary,Durham,10.4,Meeting,Long Trip,2020,Long Trip
186,2016-03-04 13:03:00,3/4/2016 13:25,Business,Durham,Cary,10.9,Meeting,Long Trip,2020,Long Trip
187,2016-03-04 13:40:00,3/4/2016 14:09,Business,Cary,Raleigh,15.7,Customer Visit,Long Trip,2020,Long Trip
188,2016-03-04 15:56:00,3/4/2016 16:08,Business,Raleigh,Raleigh,4.9,Meal/Entertain,Short Trip,2020,Short Trip
189,2016-03-04 16:16:00,3/4/2016 16:22,Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies,Short Trip,2020,Short Trip
190,2016-03-04 16:43:00,3/4/2016 17:12,Business,Raleigh,Cary,13.5,Meeting,Long Trip,2020,Long Trip
191,2016-03-04 19:02:00,3/4/2016 19:08,Business,Cary,Morrisville,1.9,Temporary Site,Short Trip,2020,Short Trip
192,2016-03-04 19:16:00,3/4/2016 19:25,Business,Morrisville,Cary,2.0,Meal/Entertain,Short Trip,2020,Short Trip
193,2016-03-05 11:44:00,3/5/2016 11:59,Business,Cary,Morrisville,6.5,Meal/Entertain,Long Trip,2020,Medium Trip
194,2016-03-05 12:57:00,3/5/2016 13:12,Personal,Weston,Weston,4.2,,Short Trip,2020,Short Trip
195,2016-03-05 14:08:00,3/5/2016 14:18,Personal,Morrisville,Cary,3.5,,Short Trip,2020,Short Trip
196,2016-03-05 14:39:00,3/5/2016 15:01,Business,Whitebridge,Wayne Ridge,7.8,Meal/Entertain,Long Trip,2020,Medium Trip
197,2016-03-05 16:52:00,3/5/2016 17:13,Business,Cary,Morrisville,7.8,Meal/Entertain,Long Trip,2020,Medium Trip
198,2016-03-05 17:23:00,3/5/2016 17:34,Business,Morrisville,Cary,3.9,Meal/Entertain,Short Trip,2020,Short Trip
199,2016-03-07 09:10:00,3/7/2016 9:20,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies,Short Trip,2020,Short Trip
200,2016-03-07 09:23:00,3/7/2016 9:47,Business,Cary,Raleigh,12.4,Customer Visit,Long Trip,2020,Long Trip
201,2016-03-07 12:10:00,3/7/2016 12:26,Business,Fayetteville Street,Meredith Townes,5.9,Customer Visit,Long Trip,2020,Medium Trip
202,2016-03-07 13:57:00,3/7/2016 14:18,Business,Meredith Townes,Leesville Hollow,9.4,Meeting,Long Trip,2020,Medium Trip
203,2016-03-07 15:19:00,3/7/2016 15:45,Business,Raleigh,Cary,11.9,Between Offices,Long Trip,2020,Long Trip
204,2016-03-08 14:38:00,3/8/2016 14:55,Business,Whitebridge,Waverly Place,7.2,Between Offices,Long Trip,2020,Medium Trip
205,2016-03-08 15:35:00,3/8/2016 16:00,Business,Waverly Place,Whitebridge,7.6,Meal/Entertain,Long Trip,2020,Medium Trip
206,2016-03-08 16:13:00,3/8/2016 16:25,Personal,Whitebridge,Whitebridge,1.6,,Short Trip,2020,Short Trip
207,2016-03-10 03:36:00,3/10/2016 3:53,Business,Cary,Morrisville,8.4,Meeting,Long Trip,2020,Medium Trip
208,2016-03-10 10:08:00,3/10/2016 10:37,Business,East Austin,West University,12.8,Meeting,Long Trip,2020,Long Trip
