START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,PURPOSE*,DISTANCE,Year,Time Cat
2016-01-11 13:32:00,1/11/2016 13:46,Business,Midtown,Midtown East,1.7,Meal/Entertain,Short Trip,2020,Short Trip
2016-01-11 14:30:00,1/11/2016 14:43,Business,Midtown East,Midtown,1.9,Meal/Entertain,Short Trip,2020,Short Trip
2016-01-12 12:33:00,1/12/2016 12:49,Business,Midtown,Hudson Square,1.9,Meal/Entertain,Short Trip,2020,Short Trip
2016-01-12 12:53:00,1/12/2016 13:09,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,Short Trip,2020,Short Trip
2016-01-12 14:42:00,1/12/2016 14:56,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,Short Trip,2020,Short Trip
2016-01-12 15:13:00,1/12/2016 15:28,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,Short Trip,2020,Short Trip
2016-01-12 15:42:00,1/12/2016 15:54,Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies,Short Trip,2020,Short Trip
2016-01-12 16:02:00,1/12/2016 17:00,Business,New York,Queens County,15.1,Meeting,Long Trip,2020,Long Trip
2016-01-13 13:54:00,1/13/2016 14:07,Business,Downtown,Gulfton,11.2,Meeting,Long Trip,2020,Long Trip
2016-01-13 15:00:00,1/13/2016 15:28,Business,Gulfton,Downtown,11.8,Meeting,Long Trip,2020,Long Trip
2016-01-14 16:29:00,1/14/2016 17:05,Business,Houston,Houston,21.9,Customer Visit,Long Trip,2020,Long Trip
2016-01-14 21:39:00,1/14/2016 21:45,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,Short Trip,2020,Short Trip
2016-01-15 00:41:00,1/15/2016 1:01,Business,Morrisville,Cary,8.0,Errand/Supplies,Long Trip,2020,Medium Trip
2016-01-15 11:43:00,1/15/2016 12:03,Business,Cary,Durham,10.4,Meal/Entertain,Long Trip,2020,Long Trip
2016-01-15 13:26:00,1/15/2016 13:44,Business,Durham,Cary,10.4,Meal/Entertain,Long Trip,2020,Long Trip
2016-01-18 14:55:00,1/18/2016 15:06,Business,Cary,Cary,4.8,Meal/Entertain,Short Trip,2020,Short Trip
2016-01-18 16:13:00,1/18/2016 16:24,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,Short Trip,2020,Short Trip
2016-01-19 09:09:00,1/19/2016 9:23,Business,Whitebridge,Lake Wellingborough,7.2,,Long Trip,2020,Medium Trip
2016-01-19 10:55:00,1/19/2016 11:09,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,Long Trip,2020,Medium Trip
2016-01-20 10:36:00,1/20/2016 11:11,Business,Cary,Raleigh,17.1,Meeting,Long Trip,2020,Long Trip
2016-01-20 11:48:00,1/20/2016 12:19,Business,Fayetteville Street,Umstead,15.1,Meeting,Long Trip,2020,Long Trip
2016-01-20 13:25:00,1/20/2016 14:19,Business,Raleigh,Cary,40.2,Customer Visit,Long Trip,2020,Long Trip
2016-01-21 14:25:00,1/21/2016 14:29,Business,Cary,Cary,1.6,Errand/Supplies,Short Trip,2020,Short Trip
2016-01-21 14:43:00,1/21/2016 14:51,Business,Cary,Cary,2.4,Meal/Entertain,Short Trip,2020,Short Trip
2016-01-21 16:01:00,1/21/2016 16:06,Business,Cary,Cary,1.0,Meal/Entertain,Short Trip,2020,Short Trip
2016-01-26 10:41:00,1/26/2016 10:50,Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,Short Trip,2020,Short Trip
2016-01-26 12:33:00,1/26/2016 12:41,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,Short Trip,2020,Short Trip
2016-01-26 16:24:00,1/26/2016 16:32,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,Short Trip,2020,Short Trip
2016-01-26 17:17:00,1/26/2016 17:22,Business,Cary,Cary,1.4,Errand/Supplies,Short Trip,2020,Short Trip
2016-01-26 17:27:00,1/26/2016 17:29,Business,Cary,Cary,0.5,Errand/Supplies,Short Trip,2020,Short Trip
2016-01-27 09:24:00,1/27/2016 9:31,Business,Cary,Cary,1.8,Meeting,Short Trip,2020,Short Trip
2016-01-27 10:19:00,1/27/2016 10:48,Business,Cary,Raleigh,18.7,Customer Visit,Long Trip,2020,Long Trip
2016-01-27 12:34:00,1/27/2016 12:44,Business,Fairmont,Meredith Townes,3.4,Customer Visit,Short Trip,2020,Short Trip
2016-01-27 14:05:00,1/27/2016 14:13,Business,Raleigh,Raleigh,2.7,Customer Visit,Short Trip,2020,Short Trip
2016-01-27 14:46:00,1/27/2016 15:08,Business,Raleigh,Cary,12.9,Customer Visit,Long Trip,2020,Long Trip
2016-01-28 12:28:00,1/28/2016 13:00,Business,Cary,Raleigh,19.0,Temporary Site,Long Trip,2020,Long Trip
2016-01-28 15:11:00,1/28/2016 15:31,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,Long Trip,2020,Long Trip
2016-01-28 16:21:00,1/28/2016 16:51,Business,Raleigh,Cary,15.7,Meeting,Long Trip,2020,Long Trip
2016-01-29 09:31:00,1/29/2016 9:45,Business,Cary,Cary,4.6,Customer Visit,Short Trip,2020,Short Trip
2016-01-29 10:56:00,1/29/2016 11:07,Business,Cary,Cary,5.2,Meeting,Long Trip,2020,Medium Trip
2016-01-29 11:43:00,1/29/2016 12:03,Business,Cary,Durham,10.4,Meeting,Long Trip,2020,Long Trip
2016-01-29 13:24:00,1/29/2016 13:47,Business,Durham,Cary,10.1,Meeting,Long Trip,2020,Long Trip
2016-01-29 18:31:00,1/29/2016 18:52,Business,Cary,Apex,5.8,Errand/Supplies,Long Trip,2020,Medium Trip
2016-01-29 21:21:00,1/29/2016 21:40,Business,Apex,Cary,5.5,Meal/Entertain,Long Trip,2020,Medium Trip
2016-01-30 16:21:00,1/30/2016 16:33,Business,Cary,Apex,5.7,Errand/Supplies,Long Trip,2020,Medium Trip
2016-01-30 18:09:00,1/30/2016 18:24,Business,Apex,Cary,5.7,Customer Visit,Long Trip,2020,Medium Trip
2016-02-01 10:35:00,2/1/2016 11:15,Business,Cary,Chapel Hill,19.4,Customer Visit,Long Trip,2020,Long Trip
2016-02-01 12:10:00,2/1/2016 12:43,Business,Chapel Hill,Cary,23.3,Customer Visit,Long Trip,2020,Long Trip
2016-02-01 12:56:00,2/1/2016 13:07,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,Short Trip,2020,Short Trip
2016-02-02 13:04:00,2/2/2016 13:23,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,Long Trip,2020,Medium Trip
2016-02-02 13:51:00,2/2/2016 14:06,Business,Cary,Cary,6.0,Errand/Supplies,Long Trip,2020,Medium Trip
2016-02-02 14:38:00,2/2/2016 14:42,Business,Cary,Cary,1.6,Errand/Supplies,Short Trip,2020,Short Trip
2016-02-04 08:40:00,2/4/2016 9:01,Business,Cary,Morrisville,5.2,Errand/Supplies,Long Trip,2020,Medium Trip
2016-02-04 09:37:00,2/4/2016 10:09,Business,Morrisville,Cary,9.7,Meal/Entertain,Long Trip,2020,Medium Trip
2016-02-04 10:26:00,2/4/2016 10:32,Business,Cary,Cary,1.6,Meal/Entertain,Short Trip,2020,Short Trip
2016-02-04 15:59:00,2/4/2016 16:03,Business,Cary,Cary,1.1,Meal/Entertain,Short Trip,2020,Short Trip
2016-02-04 16:35:00,2/4/2016 16:39,Business,Cary,Cary,1.6,Meal/Entertain,Short Trip,2020,Short Trip
2016-02-04 18:04:00,2/4/2016 18:31,Business,Whitebridge,Macgregor Downs,9.0,Meeting,Long Trip,2020,Medium Trip
2016-02-04 20:36:00,2/4/2016 20:55,Business,Cary,Cary,7.7,Meeting,Long Trip,2020,Medium Trip
2016-02-05 11:47:00,2/5/2016 12:07,Business,Cary,Durham,10.4,Meeting,Long Trip,2020,Long Trip
2016-02-05 13:22:00,2/5/2016 13:41,Business,Durham,Cary,10.4,Meeting,Long Trip,2020,Long Trip
2016-02-06 16:20:00,2/6/2016 16:53,Business,Cary,Raleigh,11.4,Between Offices,Long Trip,2020,Long Trip
2016-02-06 18:57:00,2/6/2016 19:21,Business,Raleigh,Cary,9.0,Errand/Supplies,Long Trip,2020,Medium Trip
2016-02-06 19:28:00,2/6/2016 19:37,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,Short Trip,2020,Short Trip
2016-02-07 16:49:00,2/7/2016 17:01,Business,Cary,Apex,5.6,Errand/Supplies,Long Trip,2020,Medium Trip
2016-02-07 18:03:00,2/7/2016 18:17,Business,Apex,Cary,5.7,Customer Visit,Long Trip,2020,Medium Trip
2016-02-07 18:39:00,2/7/2016 18:53,Business,Cary,Morrisville,6.1,Temporary Site,Long Trip,2020,Medium Trip
2016-02-07 20:22:00,2/7/2016 20:40,Business,Morrisville,Cary,6.1,Meeting,Long Trip,2020,Medium Trip
2016-02-08 12:57:00,2/8/2016 13:08,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,Short Trip,2020,Short Trip
2016-02-08 14:00:00,2/8/2016 14:10,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,Short Trip,2020,Short Trip
2016-02-09 10:54:00,2/9/2016 11:07,Personal,Whitebridge,Northwoods,5.3,,Long Trip,2020,Medium Trip
2016-02-09 11:43:00,2/9/2016 11:50,Personal,Northwoods,Tanglewood,3.0,,Short Trip,2020,Short Trip
2016-02-09 13:36:00,2/9/2016 13:52,Personal,Tanglewood,Preston,5.1,,Long Trip,2020,Medium Trip
2016-02-09 13:58:00,2/9/2016 14:02,Personal,Preston,Whitebridge,1.5,,Short Trip,2020,Short Trip
2016-02-09 18:55:00,2/9/2016 19:11,Business,Cary,Morrisville,6.1,,Long Trip,2020,Medium Trip
2016-02-09 20:24:00,2/9/2016 20:40,Business,Morrisville,Cary,6.1,Meal/Entertain,Long Trip,2020,Medium Trip
2016-02-11 16:28:00,2/11/2016 17:10,Business,Cary,Raleigh,17.3,Meal/Entertain,Long Trip,2020,Long Trip
2016-02-11 17:49:00,2/11/2016 18:10,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,Long Trip,2020,Medium Trip
2016-02-11 18:24:00,2/11/2016 18:46,Business,Raleigh,Morrisville,13.5,Temporary Site,Long Trip,2020,Long Trip
2016-02-11 20:36:00,2/11/2016 20:51,Business,Morrisville,Cary,6.1,Temporary Site,Long Trip,2020,Medium Trip
2016-02-12 08:21:00,2/12/2016 8:42,Business,Cary,Durham,8.5,Temporary Site,Long Trip,2020,Medium Trip
2016-02-12 10:45:00,2/12/2016 10:52,Business,Durham,Morrisville,2.6,Temporary Site,Short Trip,2020,Short Trip
2016-02-12 11:14:00,2/12/2016 11:35,Business,Morrisville,Raleigh,17.0,Customer Visit,Long Trip,2020,Long Trip
2016-02-12 13:02:00,2/12/2016 13:36,Business,Raleigh,Cary,18.0,Meeting,Long Trip,2020,Long Trip
2016-02-12 14:49:00,2/12/2016 15:06,Business,Cary,Morrisville,8.4,Meeting,Long Trip,2020,Medium Trip
2016-02-12 15:33:00,2/12/2016 16:06,Business,Morrisville,Cary,11.5,Customer Visit,Long Trip,2020,Long Trip
2016-02-13 14:21:00,2/13/2016 14:41,Business,Cary,Morrisville,8.9,Meeting,Long Trip,2020,Medium Trip
2016-02-13 23:45:00,2/14/2016 0:01,Personal,East Elmhurst,Jackson Heights,2.7,,Short Trip,2020,Short Trip
2016-02-14 00:50:00,2/14/2016 1:00,Personal,Jackson Heights,East Elmhurst,1.8,,Short Trip,2020,Short Trip
2016-02-14 14:07:00,2/14/2016 14:40,Business,East Elmhurst,New York,8.1,Meeting,Long Trip,2020,Medium Trip
2016-02-14 14:46:00,2/14/2016 15:03,Business,Midtown,Midtown West,2.0,Meeting,Short Trip,2020,Short Trip
2016-02-14 16:35:00,2/14/2016 17:02,Business,New York,Long Island City,13.0,Meeting,Long Trip,2020,Long Trip
2016-02-14 17:06:00,2/14/2016 17:29,Business,Long Island City,Jamaica,13.9,Meeting,Long Trip,2020,Long Trip
2016-02-16 03:21:00,2/16/2016 4:13,Business,Katunayaka,Unknown Location,43.7,Customer Visit,Long Trip,2020,Long Trip
2016-02-16 08:29:00,2/16/2016 9:34,Business,Unknown Location,Colombo,14.1,,Long Trip,2020,Long Trip
2016-02-16 10:31:00,2/16/2016 10:41,Business,Colombo,Colombo,2.6,,Short Trip,2020,Short Trip
2016-02-16 11:32:00,2/16/2016 12:02,Business,Colombo,Colombo,4.5,,Short Trip,2020,Short Trip
2016-02-16 12:39:00,2/16/2016 12:42,Business,Colombo,Colombo,1.7,,Short Trip,2020,Short Trip
2016-02-16 13:43:00,2/16/2016 13:55,Business,Colombo,Colombo,1.8,Temporary Site,Short Trip,2020,Short Trip
2016-02-16 16:34:00,2/16/2016 17:10,Business,Colombo,Colombo,6.0,,Long Trip,2020,Medium Trip
2016-02-16 17:17:00,2/16/2016 17:26,Business,Colombo,Nugegoda,1.1,Meal/Entertain,Short Trip,2020,Short Trip
2016-02-16 17:40:00,2/16/2016 17:44,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies,Short Trip,2020,Short Trip
2016-02-17 13:18:00,2/17/2016 14:04,Business,Unknown Location,Colombo,14.7,Temporary Site,Long Trip,2020,Long Trip
2016-02-17 15:17:00,2/17/2016 15:22,Business,Colombo,Colombo,1.7,Meal/Entertain,Short Trip,2020,Short Trip
2016-02-17 15:33:00,2/17/2016 16:17,Business,Colombo,Katunayaka,21.4,Temporary Site,Long Trip,2020,Long Trip
2016-02-17 16:38:00,2/17/2016 16:43,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies,Short Trip,2020,Short Trip
2016-02-18 08:19:00,2/18/2016 8:27,Business,Unknown Location,Unknown Location,23.5,Temporary Site,Long Trip,2020,Long Trip
2016-02-18 14:03:00,2/18/2016 14:45,Business,Unknown Location,Islamabad,12.7,Temporary Site,Long Trip,2020,Long Trip
2016-02-18 15:16:00,2/18/2016 15:31,Business,Islamabad,Unknown Location,6.0,Temporary Site,Long Trip,2020,Medium Trip
2016-02-18 18:44:00,2/18/2016 18:58,Business,Unknown Location,Islamabad,5.2,Customer Visit,Long Trip,2020,Medium Trip
2016-02-18 19:27:00,2/18/2016 20:08,Business,Islamabad,Unknown Location,10.0,Meeting,Long Trip,2020,Medium Trip
2016-02-19 09:02:00,2/19/2016 9:14,Business,Unknown Location,Unknown Location,18.3,Meeting,Long Trip,2020,Long Trip
2016-02-19 09:21:00,2/19/2016 9:51,Business,Unknown Location,Unknown Location,11.2,Meeting,Long Trip,2020,Long Trip
2016-02-19 10:21:00,2/19/2016 10:48,Business,Unknown Location,Islamabad,7.6,Meeting,Long Trip,2020,Medium Trip
2016-02-19 11:20:00,2/19/2016 11:26,Personal,Islamabad,Islamabad,1.5,,Short Trip,2020,Short Trip
2016-02-19 11:45:00,2/19/2016 11:50,Personal,Islamabad,Islamabad,1.0,,Short Trip,2020,Short Trip
2016-02-19 12:09:00,2/19/2016 12:27,Business,Islamabad,Unknown Location,7.3,Temporary Site,Long Trip,2020,Medium Trip
2016-02-19 16:26:00,2/19/2016 16:45,Business,Unknown Location,Islamabad,3.5,,Short Trip,2020,Short Trip
2016-02-19 17:09:00,2/19/2016 17:20,Business,Islamabad,Islamabad,4.2,,Short Trip,2020,Short Trip
2016-02-19 20:08:00,2/19/2016 20:30,Personal,Islamabad,Unknown Location,13.6,,Long Trip,2020,Long Trip
2016-02-19 20:34:00,2/19/2016 20:51,Personal,Unknown Location,Unknown Location,2.5,,Short Trip,2020,Short Trip
2016-02-20 07:59:00,2/20/2016 8:32,Personal,Unknown Location,Islamabad,14.4,,Long Trip,2020,Long Trip
2016-02-20 10:48:00,2/20/2016 10:56,Personal,Islamabad,Islamabad,3.0,,Short Trip,2020,Short Trip
2016-02-20 11:45:00,2/20/2016 11:53,Personal,Islamabad,Islamabad,1.5,,Short Trip,2020,Short Trip
2016-02-20 12:41:00,2/20/2016 13:17,Business,Islamabad,R?walpindi,18.4,,Long Trip,2020,Long Trip
2016-02-20 14:50:00,2/20/2016 15:54,Business,R?walpindi,R?walpindi,23.1,Meeting,Long Trip,2020,Long Trip
2016-02-20 16:59:00,2/20/2016 17:54,Personal,R?walpindi,Unknown Location,16.5,,Long Trip,2020,Long Trip
2016-02-20 18:00:00,2/20/2016 18:03,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies,Short Trip,2020,Short Trip
2016-02-20 19:28:00,2/20/2016 19:49,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies,Long Trip,2020,Medium Trip
2016-02-21 09:07:00,2/21/2016 9:46,Business,Unknown Location,Islamabad,14.5,,Long Trip,2020,Long Trip
2016-02-21 11:39:00,2/21/2016 11:43,Business,Unknown Location,Islamabad,2.4,Errand/Supplies,Short Trip,2020,Short Trip
2016-02-21 11:47:00,2/21/2016 12:01,Business,Islamabad,Islamabad,4.6,Errand/Supplies,Short Trip,2020,Short Trip
2016-02-21 12:13:00,2/21/2016 12:35,Business,Islamabad,Unknown Location,8.8,Meal/Entertain,Long Trip,2020,Medium Trip
2016-02-21 12:51:00,2/21/2016 13:12,Business,Unknown Location,Unknown Location,8.3,Temporary Site,Long Trip,2020,Medium Trip
2016-02-21 13:33:00,2/21/2016 14:30,Business,Unknown Location,Unknown Location,22.7,Temporary Site,Long Trip,2020,Long Trip
2016-02-21 14:36:00,2/21/2016 15:03,Business,Unknown Location,Islamabad,13.0,Temporary Site,Long Trip,2020,Long Trip
2016-02-21 15:14:00,2/21/2016 15:31,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site,Long Trip,2020,Medium Trip
2016-02-21 15:36:00,2/21/2016 15:41,Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain,Short Trip,2020,Short Trip
2016-02-21 16:04:00,2/21/2016 16:32,Business,Unknown Location,Unknown Location,9.7,,Long Trip,2020,Medium Trip
2016-02-21 23:15:00,2/21/2016 23:52,Business,Unknown Location,R?walpindi,20.0,Meeting,Long Trip,2020,Long Trip
2016-02-22 21:54:00,2/22/2016 22:09,Business,Morrisville,Cary,8.1,Customer Visit,Long Trip,2020,Medium Trip
2016-02-24 14:30:00,2/24/2016 14:35,Business,Whitebridge,Preston,1.5,,Short Trip,2020,Short Trip
2016-02-24 15:19:00,2/24/2016 15:25,Business,Preston,Whitebridge,1.7,Errand/Supplies,Short Trip,2020,Short Trip
2016-02-25 16:27:00,2/25/2016 16:35,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies,Short Trip,2020,Short Trip
2016-02-25 16:47:00,2/25/2016 17:02,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies,Short Trip,2020,Short Trip
2016-02-25 17:16:00,2/25/2016 17:36,Business,Whitebridge,Tanglewood,6.0,Meal/Entertain,Long Trip,2020,Medium Trip
2016-02-25 18:22:00,2/25/2016 18:39,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain,Long Trip,2020,Medium Trip
2016-02-26 09:06:00,2/26/2016 9:29,Business,Whitebridge,Westpark Place,6.3,,Long Trip,2020,Medium Trip
2016-02-26 11:05:00,2/26/2016 11:11,Personal,Westpark Place,Whitebridge,1.7,,Short Trip,2020,Short Trip
2016-02-26 11:35:00,2/26/2016 11:59,Business,Cary,Durham,10.6,Meeting,Long Trip,2020,Long Trip
2016-02-26 13:01:00,2/26/2016 13:24,Business,Durham,Cary,9.9,Meeting,Long Trip,2020,Medium Trip
2016-02-26 14:38:00,2/26/2016 14:46,Personal,Whitebridge,Westpark Place,1.9,,Short Trip,2020,Short Trip
2016-02-26 15:00:00,2/26/2016 15:18,Personal,Westpark Place,Hazelwood,4.2,,Short Trip,2020,Short Trip
2016-02-26 17:01:00,2/26/2016 17:12,Personal,Hazelwood,Whitebridge,2.0,,Short Trip,2020,Short Trip
2016-02-28 05:22:00,2/28/2016 5:38,Business,Whitebridge,Waverly Place,7.7,Meeting,Long Trip,2020,Medium Trip
2016-02-28 09:26:00,2/28/2016 9:42,Business,Waverly Place,Whitebridge,6.8,Meeting,Long Trip,2020,Medium Trip
2016-02-29 11:07:00,2/29/2016 11:14,Personal,Whitebridge,Westpark Place,2.1,,Short Trip,2020,Short Trip
2016-02-29 11:30:00,2/29/2016 11:40,Business,Cary,Apex,3.8,Meeting,Short Trip,2020,Short Trip
2016-02-29 12:36:00,2/29/2016 12:48,Business,Apex,Cary,5.6,Meeting,Long Trip,2020,Medium Trip
2016-02-29 14:55:00,2/29/2016 15:03,Business,Whitebridge,Hazelwood,2.6,,Short Trip,2020,Short Trip
2016-02-29 16:40:00,2/29/2016 17:00,Business,Hazelwood,Whitebridge,6.6,Customer Visit,Long Trip,2020,Medium Trip
2016-03-01 18:47:00,3/1/2016 19:10,Business,Whitebridge,Wayne Ridge,8.0,Meal/Entertain,Long Trip,2020,Medium Trip
2016-03-01 21:27:00,3/1/2016 21:45,Business,Wayne Ridge,Whitebridge,8.0,Meeting,Long Trip,2020,Medium Trip
2016-03-03 09:45:00,3/3/2016 9:52,Personal,Whitebridge,Westpark Place,2.2,,Short Trip,2020,Short Trip
2016-03-03 11:04:00,3/3/2016 11:10,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies,Short Trip,2020,Short Trip
2016-03-03 14:44:00,3/3/2016 14:58,Business,Whitebridge,Northwoods,5.2,Meal/Entertain,Long Trip,2020,Medium Trip
2016-03-03 15:27:00,3/3/2016 15:48,Business,Cary,Raleigh,7.6,Customer Visit,Long Trip,2020,Medium Trip
2016-03-03 16:02:00,3/3/2016 16:42,Business,Raleigh,Cary,17.3,Meeting,Long Trip,2020,Long Trip
2016-03-04 07:47:00,3/4/2016 8:06,Business,Cary,Durham,9.9,Meeting,Long Trip,2020,Medium Trip
2016-03-04 09:46:00,3/4/2016 10:03,Business,Durham,Cary,9.9,Customer Visit,Long Trip,2020,Medium Trip
2016-03-04 11:46:00,3/4/2016 12:06,Business,Cary,Durham,10.4,Meeting,Long Trip,2020,Long Trip
2016-03-04 13:03:00,3/4/2016 13:25,Business,Durham,Cary,10.9,Meeting,Long Trip,2020,Long Trip
2016-03-04 13:40:00,3/4/2016 14:09,Business,Cary,Raleigh,15.7,Customer Visit,Long Trip,2020,Long Trip
2016-03-04 15:56:00,3/4/2016 16:08,Business,Raleigh,Raleigh,4.9,Meal/Entertain,Short Trip,2020,Short Trip
2016-03-04 16:16:00,3/4/2016 16:22,Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies,Short Trip,2020,Short Trip
2016-03-04 16:43:00,3/4/2016 17:12,Business,Raleigh,Cary,13.5,Meeting,Long Trip,2020,Long Trip
2016-03-04 19:02:00,3/4/2016 19:08,Business,Cary,Morrisville,1.9,Temporary Site,Short Trip,2020,Short Trip
2016-03-04 19:16:00,3/4/2016 19:25,Business,Morrisville,Cary,2.0,Meal/Entertain,Short Trip,2020,Short Trip
2016-03-05 11:44:00,3/5/2016 11:59,Business,Cary,Morrisville,6.5,Meal/Entertain,Long Trip,2020,Medium Trip
2016-03-05 12:57:00,3/5/2016 13:12,Personal,Weston,Weston,4.2,,Short Trip,2020,Short Trip
2016-03-05 14:08:00,3/5/2016 14:18,Personal,Morrisville,Cary,3.5,,Short Trip,2020,Short Trip
2016-03-05 14:39:00,3/5/2016 15:01,Business,Whitebridge,Wayne Ridge,7.8,Meal/Entertain,Long Trip,2020,Medium Trip
2016-03-05 16:52:00,3/5/2016 17:13,Business,Cary,Morrisville,7.8,Meal/Entertain,Long Trip,2020,Medium Trip
2016-03-05 17:23:00,3/5/2016 17:34,Business,Morrisville,Cary,3.9,Meal/Entertain,Short Trip,2020,Short Trip
2016-03-07 09:10:00,3/7/2016 9:20,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies,Short Trip,2020,Short Trip
2016-03-07 09:23:00,3/7/2016 9:47,Business,Cary,Raleigh,12.4,Customer Visit,Long Trip,2020,Long Trip
2016-03-07 12:10:00,3/7/2016 12:26,Business,Fayetteville Street,Meredith Townes,5.9,Customer Visit,Long Trip,2020,Medium Trip
2016-03-07 13:57:00,3/7/2016 14:18,Business,Meredith Townes,Leesville Hollow,9.4,Meeting,Long Trip,2020,Medium Trip
2016-03-07 15:19:00,3/7/2016 15:45,Business,Raleigh,Cary,11.9,Between Offices,Long Trip,2020,Long Trip
2016-03-08 14:38:00,3/8/2016 14:55,Business,Whitebridge,Waverly Place,7.2,Between Offices,Long Trip,2020,Medium Trip
2016-03-08 15:35:00,3/8/2016 16:00,Business,Waverly Place,Whitebridge,7.6,Meal/Entertain,Long Trip,2020,Medium Trip
2016-03-08 16:13:00,3/8/2016 16:25,Personal,Whitebridge,Whitebridge,1.6,,Short Trip,2020,Short Trip
2016-03-10 03:36:00,3/10/2016 3:53,Business,Cary,Morrisville,8.4,Meeting,Long Trip,2020,Medium Trip
2016-03-10 10:08:00,3/10/2016 10:37,Business,East Austin,West University,12.8,Meeting,Long Trip,2020,Long Trip
2016-03-10 14:39:00,3/10/2016 14:55,Business,West University,South Congress,2.3,,Short Trip,2020,Short Trip
2016-03-10 16:18:00,3/10/2016 16:28,Business,South Congress,Arts District,1.6,,Short Trip,2020,Short Trip
2016-03-11 09:47:00,3/11/2016 9:59,Business,The Drag,Congress Ave District,2.0,Meal/Entertain,Short Trip,2020,Short Trip
2016-03-11 10:29:00,3/11/2016 10:36,Business,Congress Ave District,Downtown,0.8,,Short Trip,2020,Short Trip
2016-03-11 11:57:00,3/11/2016 12:04,Business,Downtown,Red River District,1.2,,Short Trip,2020,Short Trip
2016-03-11 13:43:00,3/11/2016 13:51,Business,Red River District,Downtown,1.0,,Short Trip,2020,Short Trip
2016-03-11 19:21:00,3/11/2016 19:35,Business,South Congress,The Drag,2.1,,Short Trip,2020,Short Trip
